"","state","date","stayathome"
"California.5.51","California",2020-04-21,1
"California.5.52","California",2020-04-22,1
"California.5.53","California",2020-04-23,1
"California.5.54","California",2020-04-24,1
"California.5.55","California",2020-04-25,1
"California.5.56","California",2020-04-26,1
"California.5.57","California",2020-04-27,1
"California.5.58","California",2020-04-28,1
"California.5.59","California",2020-04-29,1
"California.5.60","California",2020-04-30,1
"California.5.61","California",2020-05-01,1
"California.5.62","California",2020-05-02,1
"California.5.63","California",2020-05-03,1
"California.5.64","California",2020-05-04,1
"California.5.65","California",2020-05-05,1
"California.5.66","California",2020-05-06,1
"California.5.67","California",2020-05-07,1
"California.5.68","California",2020-05-08,1
"California.5.69","California",2020-05-09,1
"California.5.70","California",2020-05-10,1
"California.5.71","California",2020-05-11,1
"California.5.72","California",2020-05-12,1
"California.5.73","California",2020-05-13,1
"California.5.74","California",2020-05-14,1
"California.5.75","California",2020-05-15,1
"California.5.76","California",2020-05-16,1
"California.5.77","California",2020-05-17,1
"California.5.78","California",2020-05-18,1
"California.5.79","California",2020-05-19,1
"California.5.80","California",2020-05-20,1
"California.5.81","California",2020-05-21,1
"California.5.82","California",2020-05-22,1
"California.5.83","California",2020-05-23,1
"California.5.84","California",2020-05-24,1
"California.5.85","California",2020-05-25,1
"California.5.86","California",2020-05-26,1
"California.5.87","California",2020-05-27,1
"California.5.88","California",2020-05-28,1
"California.5.89","California",2020-05-29,1
"California.5.90","California",2020-05-30,1
"California.5.91","California",2020-05-31,1
"California.5.92","California",2020-06-01,1
"California.5.93","California",2020-06-02,0
"California.5.94","California",2020-06-03,0
"California.5.95","California",2020-06-04,0
"California.5.96","California",2020-06-05,0
"California.5.97","California",2020-06-06,0
"California.5.98","California",2020-06-07,0
"California.5.99","California",2020-06-08,0
"California.5.100","California",2020-06-09,0
"California.5.101","California",2020-06-10,0
"Colorado.6","Colorado",2020-03-01,0
"Colorado.6.1","Colorado",2020-03-02,0
"Colorado.6.2","Colorado",2020-03-03,0
"Colorado.6.3","Colorado",2020-03-04,0
"Colorado.6.4","Colorado",2020-03-05,0
"Colorado.6.5","Colorado",2020-03-06,0
"Colorado.6.6","Colorado",2020-03-07,0
"Colorado.6.7","Colorado",2020-03-08,0
"Colorado.6.8","Colorado",2020-03-09,0
