"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"288","Montana",2020-03-11,11,8,288,296,1.92105263157895,-4.07894736842105,-1.78947368421053,15.2631578947368,-6.02631578947368,-1.42105263157895
"289","Montana",2020-03-18,12,38,1340,1378,10.0857142857143,-29.0571428571429,-33.4857142857143,-0.6,28.6571428571429,-21.3714285714286
"290","Montana",2020-03-25,13,138,2591,2729,14.4571428571429,-38.1714285714286,-43.5142857142857,-13.9428571428571,12.0285714285714,-38.2
"291","Montana",2020-04-01,14,135,2432,2567,16.6388888888889,-42.5833333333333,-46.4444444444444,-18.5,-0.222222222222222,-45.6944444444444
"292","Montana",2020-04-08,15,80,2169,2249,15.6060606060606,-43.5151515151515,-44.2121212121212,-15.1515151515152,23.2121212121212,-43.4848484848485
"293","Montana",2020-04-15,16,38,1969,2007,14.0277777777778,-39.0277777777778,-39.7222222222222,-9.22222222222222,23.5277777777778,-37.1388888888889
"294","Montana",2020-04-22,17,14,1936,1950,12.4571428571429,-37.3714285714286,-36.1714285714286,-1.02857142857143,44.4857142857143,-31.5142857142857
"295","Montana",2020-04-29,18,5,2076,2081,8.70588235294118,-32.3823529411765,-25,8.79411764705882,63.2647058823529,-25.9705882352941
"296","Montana",2020-05-06,19,5,7758,7763,8.15151515151515,-27.969696969697,-16.4545454545455,12.8787878787879,47.3030303030303,-21.0909090909091
"297","Montana",2020-05-13,20,10,5905,5915,11,-29.5,-15,6.1,28.4,-23.5
"298","Nebraska",2020-03-04,10,3,47,50,-1.18518518518519,1.44444444444444,10.1111111111111,9.62962962962963,57.6666666666667,8.62962962962963
"299","Nebraska",2020-03-11,11,18,159,177,3.57142857142857,-7.85714285714286,-1.67857142857143,17.0357142857143,19.0714285714286,-3.07142857142857
"300","Nebraska",2020-03-18,12,31,769,800,13.4814814814815,-28.2962962962963,-33.3333333333333,0.333333333333333,13.2592592592593,-15.2592592592593
"301","Nebraska",2020-03-25,13,120,1956,2076,14.9166666666667,-34.875,-37.125,-10.4583333333333,57.0416666666667,-20
"302","Nebraska",2020-04-01,14,275,3880,4155,16.44,-38.68,-38.44,-7.76,43.24,-23.8
"303","Nebraska",2020-04-08,15,424,3675,4099,17.4074074074074,-44.1111111111111,-40.962962962963,-11.3703703703704,35.1481481481481,-25.1111111111111
"304","Nebraska",2020-04-15,16,777,4238,5015,17.3333333333333,-39.6666666666667,-33.7777777777778,-10.2592592592593,31.8888888888889,-20.8148148148148
"305","Nebraska",2020-04-22,17,1710,5523,7233,14.6521739130435,-37.9565217391304,-29.4347826086957,-6.30434782608696,73.695652173913,-16.0869565217391
"306","Nebraska",2020-04-29,18,2725,8279,11004,13.1666666666667,-36.75,-24.9583333333333,-2.20833333333333,79.8333333333333,-13.5
"307","Nebraska",2020-05-06,19,2489,10845,13334,13.1666666666667,-34.0416666666667,-20.4583333333333,4.04166666666667,56.375,-12.2083333333333
"308","Nebraska",2020-05-13,20,2053,19988,22041,17,-40.8571428571429,-20.8571428571429,-2.14285714285714,38.4285714285714,-12.5714285714286
"309","Nevada",2020-03-04,10,1,14,15,-0.318181818181818,0.772727272727273,4.54545454545455,10.4545454545455,14.7272727272727,0.545454545454545
"310","Nevada",2020-03-11,11,54,154,208,2.66666666666667,-5.61904761904762,-1.57142857142857,17.2857142857143,0.80952380952381,-10.7619047619048
"311","Nevada",2020-03-18,12,223,3786,4009,14.952380952381,-40.3333333333333,-35.2857142857143,-3.28571428571429,-22.952380952381,-45.1428571428571
"312","Nevada",2020-03-25,13,835,6727,7562,17.8260869565217,-48.304347826087,-40.9130434782609,-16.0869565217391,-29.8695652173913,-54.8260869565217
"313","Nevada",2020-04-01,14,974,5871,6845,18.2916666666667,-50.7916666666667,-39.875,-13.375,-30.1666666666667,-56.25
"314","Nevada",2020-04-08,15,1001,7021,8022,18.6,-52.12,-43.12,-17.12,-30.08,-53.52
"315","Nevada",2020-04-15,16,849,5545,6394,17.9565217391304,-50.0869565217391,-39.6086956521739,-15.695652173913,-20.8695652173913,-52.0869565217391
"316","Nevada",2020-04-22,17,868,6196,7064,17.5909090909091,-50.0454545454545,-38.6363636363636,-13.1363636363636,-11.0909090909091,-50.9090909090909
"317","Nevada",2020-04-29,18,789,6976,7765,15.4285714285714,-48.9047619047619,-35.7619047619048,-6.23809523809524,-8.38095238095238,-50.6190476190476
"318","Nevada",2020-05-06,19,717,15474,16191,15.1904761904762,-45.7619047619048,-32.9047619047619,-1.38095238095238,-4.33333333333333,-48
"319","Nevada",2020-05-13,20,735,22745,23480,16.6666666666667,-45.1666666666667,-28.1666666666667,-3.33333333333333,-14.5,-44.5
"320","New Hampshire",2020-03-04,10,4,38,42,-0.303030303030303,2.57575757575758,6.09090909090909,3.39393939393939,35.0606060606061,6.75757575757576
"321","New Hampshire",2020-03-11,11,13,317,330,2.85714285714286,-3.65714285714286,0.857142857142857,19.7714285714286,17.8857142857143,-4.97142857142857
